Date,Time,Site,Rep,FQ_ID,FQ_PH,FQ_chl,FQ_ratio,CF_PH,CF_chl,CF_ratio,temperature_C,DO_pct,turbidity,chl_RFU,maramataka,weather_description,water_description,Notes 
29/01/2025,9:40,Hannah's Bay ,1,A,0.1,4.58,0.02,598.2,2865.3,0.22,21.6,97.4,1.35,1,Tapikiora,"Overcast, slight winds ","Murky,  lake weed build up on shore,  moderate wave action ",
,,,2,,0.1,3.92,0.02,395.58,3284.9,0.12,,,,,,,,
,,,3,,0.1,5.05,0.02,4715.63,3199.3,0.14,,,,,,,,
,10:10,Te P?hue ,1,A,0.1,1.44,0.06,239.72,1140,0.21,21.5,96.5,1.6,0.52,,,"Clear, slight wave action ",
,,,2,,0.1,2.08,0.05,395.58,992.65,0.39,,,,,,,,
,,,3,,0.1,1.29,0.05,205.39,1043.1,0.19,,,,,,,,
,,,1,B,0.1,1.7,0.05,,,,,,,,,,,
,,,2,,0.1,1.7,0.06,,,,,,,,,,,
,,,3,,0.1,1.29,0.07,,,,,,,,,,,
,10:45,Ohau Channel ,1,A,0.1,5.22,0.01,365.39,1338,0.27,20.6,92.2,2.06,0.86,,,"Clear, moderate wave action ",
,,,2,,0.1,1.73,0.05,410.02,2077.6,0.19,,,,,,,,
,,,3,,0.1,3.7,0.02,599.44,2652.4,0.22,,,,,,,,
,,,1,B,0.1,8.98,0.01,,,,,,,,,,,
,,,2,,0.1,2.98,0.03,,,,,,,,,,,
,,,3,,0.1,5.85,0.02,,,,,,,,,,,
,11:05,Hamurana (East),1,A,0.1,10.64,0,1475.3,4139.7,0.35,20.8,98.7,4.02,2.39,,,"Murky, slight wave action, lake weed build up on shore ",
,,,2,,0.1,6.06,0.01,1470.4,7478.6,0.19,,,,,,,,
,,,3,,0.1,11.77,0,1416.9,5196.8,0.27,,,,,,,,
,,,1,B,0.1,8.98,0.01,,,,,,,,,,,
,,,2,,0.1,8.36,0.01,,,,,,,,,,,
,,,3,,0.1,7.23,0.01,,,,,,,,,,,
