"Site","date","crps","rmse"
"Ngongotaha","2025-02-24",0.395304903274185,0.0224419953536949
"Ngongotaha","2025-03-03",0.48739214053781,0.0293749602579085
"Ngongotaha","2025-03-10",0.718830905340301,0.055450350662076
"Ngongotaha","2025-03-17",0.776675709143927,0.0427377824428044
"Ngongotaha","2025-03-24",0.3298447305216,0.0016937336707971
"Ngongotaha","2025-03-31",0.409934959808083,0.002295949894389
"Ngongotaha","2025-04-07",0.263890970288822,0.041742515669222
"Ngongotaha","2025-04-14",0.121474395202223,0.005563697858503
"Ngongotaha","2025-04-21",0.0178561429401012,0.00374298232173331
"Ngongotaha","2025-04-28",0.037186623258953,0.021671976089353
"Ngongotaha","2025-05-05",0.256835949371594,0.0144779632265295
"Ngongotaha","2025-05-12",0.041374382035602,0.046806015085729
"Ngongotaha","2025-05-19",0.0103762571532975,0.0020469361472652
"Ngongotaha","2025-05-26",0.068803420771772,0.0166403245776572
"Ngongotaha",NA,NA,NA
"Ngongotaha",NA,NA,NA
"Ngongotaha",NA,NA,NA
"Ohau Channel","2024-12-02",4.3423564820226,5.01125653551403
"Ohau Channel","2024-12-09",12.2542525305468,13.6459477178381
"Ohau Channel","2024-12-16",5.49872278053634,6.63873238870622
"Ohau Channel","2024-12-23",1.80324778211695,2.13946219309939
"Ohau Channel","2025-01-06",1.34620793402176,1.58066841466296
"Ohau Channel","2025-01-13",0.198480969490531,0.323934815109209
"Ohau Channel","2025-01-20",0.054273135327317,0.0251296075543694
"Ohau Channel","2025-01-27",0.0276625230629634,0.0360279149613828
"Ohau Channel","2025-02-03",0.0617414364838429,0.0140419515113641
"Ohau Channel","2025-02-10",0.129188624642222,0.0059906899713067
"Ohau Channel","2025-02-17",0.0985348082816658,0.0203216536205474
"Ohau Channel","2025-02-24",0.317756919496484,0.358931388618751
"Ohau Channel","2025-03-03",3.47650604647608,0.0752507187611379
"Ohau Channel","2025-03-10",2.19338772396827,0.141576646631095
"Ohau Channel","2025-03-17",3.50390194434097,0.095083909034165
"Ohau Channel","2025-03-24",0.227397519479573,0.0011849570487854
"Ohau Channel","2025-03-31",0.783245406260136,0.0285935985336758
"Ohau Channel","2025-04-07",1.58881312384823,0.0960926552468299
"Ohau Channel","2025-04-14",0.0715193690346069,0.0039129745626153
"Ohau Channel","2025-04-21",0.0451012892199954,0.0193957587887215
"Ohau Channel","2025-04-28",0.110749218152198,0.0470671142766498
"Ohau Channel","2025-05-05",0.0800148309709567,0.0318438322987691
"Ohau Channel","2025-05-12",0.247695865876644,0.0617623129479446
"Ohau Channel","2025-05-19",0.116562971712484,0.0625330343278885
"Ohau Channel","2025-05-26",0.0738610033200209,0.0012381271043568
"Ohau Channel",NA,NA,NA
"Ohau Channel",NA,NA,NA
"Ohau Channel",NA,NA,NA
"Ohau Channel",NA,NA,NA
